Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Darren Elder,51,4,6,5,389.25999999999993,10.740000000000004,2.759081333812877
Glenn Bull,45,4,0,6,426.21,-26.209999999999994,-6.149550690973932
Luke McCarthy,45,4,4,4,849.6800000000001,-449.68,-52.92345353544864
Grace Panella,38,4,4,3,343.9199999999999,56.07999999999999,16.306117701791116
Michael Formosa,37,4,6,5,445.33,-45.32999999999994,-10.178968405452125
Ellen Jones,34,4,2,6,330.12,69.88,21.168060099357806
John Stariha,28,4,2,3,454.79,-54.790000000000006,-12.047318542624069
John Tormey,25,4,2,4,356.88999999999993,43.10999999999997,12.079352181344385
Peter Rixon,22,4,4,2,485.83000000000004,-85.83000000000004,-17.666673527777213
Daren Garrard,20,4,2,0,343.17999999999995,56.82000000000001,16.556908910775693
Mark Callaghan,20,4,2,2,340.08000000000004,59.920000000000016,17.61938367442955
Jarrod Alchin,20,4,3,0,471.78999999999996,-71.79000000000002,-15.21651582271774
Dayl March,18,4,1,3,310.39,89.60999999999997,28.870131125358412
Michael Munro,12,4,0,1,215.20999999999998,184.79000000000002,85.86496909994891
Darrel Graham,10,4,1,2,308.79999999999995,91.20000000000002,29.533678756476693
Bruce Harpley,10,4,4,0,406.75,-6.750000000000014,-1.6594960049170289
John McMullen,72,5,5,8,704.55,-204.54999999999998,-29.03271591796182
Gemma Hewitt,62,5,10,9,967.64,-467.63999999999993,-48.327890537803306
Lang Inwood,57,5,10,6,658.51,-158.51000000000002,-24.071008792577185
Chris Judd,47,5,1,6,502.81,-2.809999999999974,-0.5588592112328661
Steven Lee,47,5,7,2,562.08,-62.080000000000005,-11.044691147167663
Ron Sallis,44,5,5,3,587.53,-87.52999999999997,-14.89796265722601
David Micallef,44,5,5,6,754.86,-254.86,-33.76255199639668
Blake Fitzpatrick,41,5,5,10,621.17,-121.17000000000002,-19.506737286089155
Josh Turnbull,33,5,1,1,375.11,124.88999999999999,33.2942336914505
Alyce Finnis,31,5,3,3,478.9,21.099999999999987,4.405930256838586
Tony Pullicino,31,5,5,4,391.9599999999999,108.03999999999999,27.564037146647618
Dean Girardi,30,5,4,5,445.8,54.20000000000001,12.157918349035445
Brad Hewitt,30,5,9,3,793.58,-293.58000000000004,-36.99437989868697
Maria Petricevich,23,5,1,1,388.94,111.05999999999999,28.554532832827682
Lachlan Prothero,21,5,2,1,250.48000000000002,249.51999999999998,99.61673586713509
Symon Kittel,16,5,4,3,285.77,214.23000000000002,74.96588165307766
Wayne Potter,15,5,2,0,393.80999999999995,106.19000000000003,26.964779970036325
Chris Voak,14,5,2,1,440.26000000000005,59.740000000000016,13.569254531413257
Wayne Yole,129,6,17,18,1331.0700000000002,-731.0699999999999,-54.92348261173341
"G F J Bond, S A Bond",49,6,8,6,997.8100000000001,-397.81,-39.86831160240927
Jack Butler,45,6,2,4,596.69,3.3099999999999987,0.5547269101208331
Michael Young,45,6,5,8,810.12,-210.11999999999998,-25.936898237298173
Brad Lynn,44,6,3,4,549.88,50.120000000000054,9.11471593802285
Amanda Turnbull,41,6,6,8,778.03,-178.03,-22.882151073866048
David Waite,35,6,2,4,431.47999999999996,168.52000000000004,39.05627143784186
Andrew Vozlic,35,6,2,5,304.99,295.01,96.72776156595297
Bernie Hewitt,35,6,5,2,623.32,-23.319999999999997,-3.7412564974651854
"J K Neilson, K Wilson",32,6,1,5,584.77,15.230000000000018,2.604442772372047
Tammy Langley,32,6,1,5,514.24,85.75999999999996,16.677037958929674
Trevor White,31,6,3,2,378.71,221.28999999999996,58.432573737160354
Colin Godden,27,6,1,5,432.9,167.1,38.6001386001386
Ashleigh Markham,24,6,0,2,299.83,300.16999999999996,100.11339759196878
Ryan Bell,24,6,2,1,292.25,307.75,105.30367835757058
Peter Bain,21,6,2,2,792.25,-192.25000000000003,-24.266330072578103
Gary Hall Snr,21,6,3,3,610.02,-10.019999999999975,-1.6425690960952057
Dylan Egerton-Green,48,7,8,7,936.4800000000001,-236.48000000000002,-25.252007517512386
Seaton Grima,42,7,5,4,1012.23,-312.23,-30.845756399237327
Michael Stanley,40,7,5,6,662.43,37.569999999999986,5.671542653563394
"M A Lee, P D Lee",35,7,6,5,1038.46,-338.4599999999999,-32.59249272961885
Jackson Painting,34,7,6,4,919.4999999999998,-219.5,-23.871669385535625
Tracy Reay,26,7,2,0,361.93,338.07,93.40756499875667
Justin Prentice,26,7,3,2,672.7299999999999,27.27000000000003,4.053632215004539
Nathan Turnbull,81,8,8,5,1123.54,-323.53999999999996,-28.796482546237783
Mat Rue,47,8,4,3,644.4700000000001,155.53000000000003,24.133008518627708
Jonah Hutchinson,80,9,8,9,775.78,124.22,16.012271520276368
Naomi Kerr,39,9,4,4,920.17,-20.169999999999987,-2.191986263407847
Andy Gath,36,9,3,4,671.9100000000001,228.08999999999995,33.94651069339643
Jess Tubbs,22,9,2,1,485.22,414.78000000000003,85.48287374799061
Troy Williams,68,10,10,5,760.3299999999999,239.67000000000002,31.5218392013994
Ross Graham,59,10,5,5,1031.7200000000003,-31.72,-3.0744775714341093
Rickie Alchin,53,10,5,9,1000.14,-0.14000000000001833,-0.013998040274363422
Brent Lilley,63,11,13,7,1237.53,-137.52999999999997,-11.11326594102769
Donny Smith,42,11,3,6,1020.2699999999999,79.72999999999996,7.814598096582275
Grant Dixon,133,12,15,20,2120.35,-920.3500000000001,-43.40556983516873
Aiden De Campo,80,12,11,11,1459.1100000000001,-259.11000000000007,-17.758085408228308
Hayden Reeves,101,13,7,11,1009.79,290.2100000000001,28.739638934828044
Ryan Hryhorec,61,14,10,10,1883.23,-483.23000000000013,-25.659637962436882
Graham Dwyer,92,17,14,17,1726.4599999999998,-26.460000000000015,-1.5326158729423223
Chantal Turpin,44,17,11,4,1803.1,-103.10000000000005,-5.717930231268374
KerryAnn Morris,119,18,12,12,1720.49,79.50999999999996,4.621357868979184
Jason Grimson,45,18,7,5,2042.3200000000002,-242.31999999999994,-11.864937913745148
Emma Stewart,67,22,10,11,2130.7700000000004,69.22999999999999,3.2490601988952337
